ProductSubcategoryName,ProductCategoryName,ProductName,ProfitAmount,SaleAmount,SalesQuantity,ArticleKey
KIT AGRAFE ENJOLIVEUR P/B (POUR 1 COTE),RENAULT,DIVERS,0.0,20.175,0.0,125
PARE-BRISE V (REF.SOLEIL/REGARD VIN),RENAULT,DIVERS,0.0,322.3916666666667,13.0,126
JOINT PARE-BRISE,RENAULT,DIVERS,0.0,35.69166666666667,14.0,127
Pare-brise vert,PILKINGTON,DIVERS,0.0,311.93333333333334,0.0,128
Pare-brise clair,PILKINGTON,DIVERS,0.0,665.45,0.0,129
Pare-brise vert,PILKINGTON,DIVERS,0.0,239.86666666666665,0.0,130
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,827.9000000000001,0.0,131
PARE-BRISE BL ATHERMIQUE (YC JT INF ET SUPPORT ENJO),RENAULT,DIVERS,0.0,241.18333333333337,0.0,132
PARE-BRISE V AVEC BANDEAU CAPTEUR PLUIE (REGARD No CHASSIS),VOLKSWAGEN,DIVERS,0.0,320.1666666666667,0.0,133
GUIDE AR GLACE PORTE AR D,VOLKSWAGEN,DIVERS,0.0,26.491666666666667,0.0,134
COULISSE GLACE PORTE AR D,VOLKSWAGEN,DIVERS,0.0,111.48333333333333,0.0,135
PARE-BRISE V CAPTEUR PLUIE (YC JOINT+EMBASE RETRO INT),PEUGEOT,DIVERS,0.0,246.625,0.0,136
PARE-BRISE V (AVEC REGARD No CHASSIS),VOLKSWAGEN,DIVERS,0.0,471.6666666666667,2.0,137
PARE-BRISE BL ATHERMIQUE,RENAULT,DIVERS,0.0,216.82500000000002,0.0,138
PARE-BRISE V AVEC BANDEAU,MERCEDES,DIVERS,0.0,145.14166666666665,0.0,139
forfait M/O,DIVERS,DIVERS,100.0,17.361083333333337,0.0,140
KIT D'EMBRAYAGE ET UNE BOITE DE VITESSE,DIVERS,DIVERS,100.0,2569.4444166666667,0.0,141
KIT D'EMBRAYAGE,DIVERS,DIVERS,100.0,277.775,0.0,142
Pare-brise clair,PILKINGTON,DIVERS,0.0,148.64166666666668,0.0,143
SUPPLÉMENT KIT COLLAGE,DIVERS,DIVERS,0.0,36.66666666666667,20.0,144
Pare-brise vert,AGC,DIVERS,0.0,316.05833333333334,0.0,145
ENJOLIVEUR D PARE-BRISE,VOLKSWAGEN,DIVERS,0.0,11.141666666666666,0.0,146
ENJOLIVEUR G PARE-BRISE,VOLKSWAGEN,DIVERS,0.0,11.141666666666666,0.0,147
PARE-BRISE V (AVEC REGARD VIN),VOLKSWAGEN,DIVERS,0.0,400.0,1.0,148
PARE-BRISE (CLAIR/YC JOINT ET CALES),CITROEN,DIVERS,0.0,278.6666666666667,0.0,149
DEMAREURE D'OCCASION,DIVERS,DIVERS,100.0,83.33333333333334,0.0,150
pneu155/65/16,DIVERS,DIVERS,100.0,104.16666666666667,0.0,151
REPLACEMENT DU QUITTE NEIMAN PEUGEOT ,DIVERS,DIVERS,100.0,179.15833333333336,0.0,152
REPLACEMENT DU BOUCHON DE RESERVOIR,DIVERS,DIVERS,100.0,81.94166666666666,0.0,153
REPLACEMENT DES BARILLETS DE PORTES,PEUGEOT,DIVERS,100.0,96.33333333333333,0.0,154
RENITIALISATION,DIVERS,DIVERS,100.0,66.66666666666667,0.0,155
MAINT D'OEUVRES,DIVERS,DIVERS,100.0,100.0,0.0,156
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (ALLUM. FEU AUTO),RENAULT,DIVERS,0.0,648.675,0.0,157
viadange complete,DIVERS,DIVERS,100.0,187.5,0.0,158
VITRE PORTE ARD,DIVERS,DIVERS,100.0,0.0,0.0,159
M/O,DIVERS,DIVERS,100.0,13.888916666666667,0.0,160
PARE-BRISE V (YC CALES/ACOUSTIQUE),PEUGEOT,DIVERS,0.0,355.93333333333334,0.0,161
235/40/R19,DIVERS,DIVERS,100.0,121.52775000000001,0.0,162
PARE-BRISE V CAPTEUR PLUIE (AVEC TOIT PANORAMIQUE),MERCEDES,DIVERS,0.0,189.06666666666666,0.0,163
kit de distribution,DIVERS,DIVERS,100.0,100.0,0.0,164
courroie d'accessoire,DIVERS,DIVERS,100.0,12.5,0.0,165
poulie,DIVERS,DIVERS,100.0,46.66666666666667,1.0,166
liquide de ref,DIVERS,DIVERS,100.0,8.333333333333334,0.0,167
m/o forfait,DIVERS,DIVERS,100.0,150.0,0.0,168
pneux d'occa,DIVERS,DIVERS,100.0,33.333333333333336,0.0,169
Enjoliveur pare-brise,PILKINGTON,DIVERS,0.0,76.35000000000001,0.0,170
Pare-brise vert,PILKINGTON,DIVERS,0.0,361.1416666666667,0.0,171
BOITE A VITESSE TRAFIC PF6006,DIVERS,DIVERS,100.0,1111.1110833333335,0.0,172
KIT DE FREIN,DIVERS,DIVERS,100.0,50.0,0.0,173
 PLAQUETTES AVANT,DIVERS,DIVERS,100.0,41.66666666666667,0.0,174
ROULEMENT ARRIERE,DIVERS,DIVERS,100.0,81.66666666666667,0.0,175
TEMBOURG AR,DIVERS,DIVERS,100.0,25.97225,0.0,176
Pare-brise clair,PILKINGTON,DIVERS,0.0,287.44166666666666,0.0,177
PARE-BRISE V (YC JOINTS INT/CALES),CITROEN,DIVERS,0.0,247.04166666666666,0.0,178
PARE-BRISE ATHERMIQUE CAPTEUR PLUIE (CLAIR/AVEC CAPT.LUMIERE),RENAULT,DIVERS,0.0,524.2666666666667,1.0,179
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,302.2,0.0,180
Pare-brise vert,AGC,DIVERS,0.0,0.0,0.0,181
PARE-BRISE V AVEC BANDEAU CAPTEUR PLUIE (REF.SOLEIL/REGARD.VIN),MERCEDES,DIVERS,0.0,199.39166666666668,0.0,182
PARE-BRISE V ATHERMIQ CHAUFFAN-CAPT/PLUIE,RENAULT,DIVERS,0.0,482.325,0.0,183
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE,RENAULT,DIVERS,0.0,555.5583333333333,0.0,184
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC EMBASE/AVEC REGARD VIN),VOLKSWAGEN,DIVERS,0.0,441.25,0.0,185
HUILE 5W40,DIVERS,DIVERS,100.0,20.833333333333336,0.0,186
VIDANGE PLUS 3 FILTTRES,DIVERS,DIVERS,100.0,923.6110833333333,0.0,187
VIDANGE PLUS 3 FILTTRES,DIVERS,DIVERS,100.0,92.36108333333333,0.0,188
ENJOLIVEUR D PARE-BRISE,MERCEDES,DIVERS,0.0,35.55833333333334,0.0,189
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,162.60833333333335,0.0,190
PARE-BRISE V CHAUFFANT (INTERMITTENT),IVECO,DIVERS,0.0,837.4833333333333,0.0,191
PLAQUETTES AVANT ET ARRIERRE,DIVERS,DIVERS,100.0,45.833333333333336,0.0,192
PLAQUETTES ARRIERE,DIVERS,DIVERS,100.0,41.66666666666667,0.0,193
PARE-BRISE V,MERCEDES,DIVERS,0.0,145.14166666666665,0.0,194
