SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
73,2018-06-11,1,63.62,0.0,93200,ST DENIS,DIVERS,TOYOTA,ENJOLIVEUR INF PARE-BRISE,0
75,2018-11-27,1,208.33,100.0,93240,STAINS,DIVERS,DIVERS,CHANGEMENT PARE-BRISE IVECO ,6
75,2018-11-27,1,62.5,100.0,93240,STAINS,DIVERS,DIVERS,11 allée des jonquilles,6
77,2019-04-12,1,118.88,100.0,93300,AUBERVILLIERS,DIVERS,DIVERS,POMPE A LIQUIDE DE REFROIDISSEMENT,9
78,2019-06-08,9,377.89,0.0,94140,ALFORTVILLE,DIVERS,CITROEN,PARE-BRISE V CAPTEUR PLUIE (EQUIP.CAMERA),7
78,2019-06-08,1,250.0,100.0,94140,ALFORTVILLE,DIVERS,DIVERS,2 pneus avant CONTINENTAL,7
84,2020-07-07,1,398.31,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert solar,5
84,2020-07-07,1,54.17,0.0,93200,ST DENIS,DIVERS,DIVERS,GLACE AV GAUCHE 508,5
85,2020-09-01,1,25.0,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,MAIN D'OEUVRE,0
86,2020-12-01,1,285.04,0.0,93220,GAGNY,DIVERS,CITROEN,PARE-BRISE V ATHERMIQUE (YC JOINT/REFLECHISSANT),10
86,2020-12-01,1,28.72,0.0,93220,GAGNY,DIVERS,BMW,JOINT PARE-BRISE INF,10
87,2021-05-18,1,400.74,0.0,93150,LE BLANC MESNIL,DIVERS,AUDI,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC EMBASE+JOINT),6
89,2021-10-08,1,234.38,0.0,75016,PARIS 16EME ARRONDISSEMENT,DIVERS,MERCEDES,PARE-BRISE V AVEC BANDEAU,5
89,2021-10-08,1,333.33,100.0,75016,PARIS 16EME ARRONDISSEMENT,DIVERS,DIVERS,PARE BRISE RENAULT MEGANE IV CAP CAM + MAIN D'OEUVRE ,5
90,2022-01-07,1,208.33,100.0,95360,MONTMAGNY,DIVERS,DIVERS,1 PARE SPRINTER,1
90,2022-01-07,1,304.43,0.0,95360,MONTMAGNY,DIVERS,RENAULT,PARE-BRISE V CAPTEUR PLUIE (ALLUM. FEU AUTO),1
93,2023-02-01,1,7.07,100.0,93440,DUGNY,DIVERS,DIVERS,ACTIVATEUR 250 ML,0
93,2023-02-01,1,94.78,0.0,93440,DUGNY,DIVERS,PILKINGTON (EUROCODE),Glace de custode ARD verte,0
94,2023-04-17,1,40.0,100.0,77181,COURTRY,DIVERS,DIVERS,VITRE MOBILE ARRIERE DROIT VERT MEGANE 3 5P 08-15  7279RGNH5RDW,7
96,2023-08-29,1,166.67,100.0,92000,NANTERRE,DIVERS,DIVERS,3 PNEUS 215/70/15C,6
97,2023-10-27,1,62.82,100.0,95500,LE THILLAY,DIVERS,DIVERS,[3016RGNS4FD] GLACE DESCENDANTE AVANT DROIT TEINTE VERT NUBIRA/LACETTI 4 ET 5 PORTES 05-09 ,2
99,2018-04-03,1,22.27,100.0,93500,PANTIN,DIVERS,DIVERS,VITRE AVD CITROEN C3 II 2743RGNH5FD,9
99,2018-04-03,1,673.44,0.0,93500,PANTIN,DIVERS,BMW,PARE-BRISE V CAPTEUR PLUIE (AFF.TETE HAUTE/CLIM AUO),9
100,2018-06-11,1,190.99,0.0,93200,ST DENIS,DIVERS,SMART,PARE-BRISE V CAPTEUR PLUIE,4
103,2019-01-30,1,695.09,0.0,93380,PIERREFITTE SUR SEINE,DIVERS,BMW,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (AFFICH.TETE HAUTE),7
104,2019-06-08,1,194.44,100.0,93240,STAINS,DIVERS,DIVERS,1 PARE BRISE RENAULT TRAFIC + MO,6
105,2019-07-18,1,768.69,0.0,95140,GARGES LES GONESSE,DIVERS,PILKINGTON,Pare-brise vert,10
106,2019-09-09,1,275.17,0.0,93330,NEUILLY SUR MARNE,DIVERS,BMW,PARE-BRISE V CAPTEUR PLUIE (CHANG-VOIE/ANTI-COLLISION),6
112,2020-09-01,1,585.42,0.0,95500,GONESSE,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert,4
113,2020-12-01,1,16.03,100.0,93700,DRANCY,DIVERS,DIVERS,JOINT PARE-BRISE,7
114,2021-02-24,1,250.0,100.0,93140,BONDY,DIVERS,DIVERS,VITRE AR KIA CHAUFFANTE,9
114,2021-02-24,1,1107.64,0.0,93140,BONDY,DIVERS,DIVERS,PONT ARRIERE,9
115,2021-07-27,1,60.95,100.0,93240,STAINS,DIVERS,DIVERS,RENAULT CLIO III 3P/5P (05-13): LUNETTE VERT SOLAR CHAUFF.,8
115,2021-07-27,1,720.35,0.0,93240,STAINS,DIVERS,FORD (EU),PARE-BRISE V CHAUFFANT CAPTEUR PLUIE (SYS.SORT-VOIE/FREIN-URGE),8
116,2022-01-07,1,111.11,100.0,93500,PANTIN,DIVERS,DIVERS,1 DEFLECTEUR AVD TRAFIC,8
116,2022-01-07,1,131.94,100.0,93500,PANTIN,DIVERS,DIVERS,1 VITRE AVANT MERCEDES REF/ 5381AGAMVW,8
120,2023-04-17,1,452.5,0.0,95500,GONESSE,DIVERS,BMW,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (DEGRADE/REFL.INFRAROUGE),6
121,2023-06-21,1,59.42,0.0,75016,PARIS 16EME ARRONDISSEMENT,DIVERS,KIA,JOINT PARE-BRISE,6
122,2023-08-29,1,83.33,100.0,92600,ASNIERES SUR SEINE,DIVERS,DIVERS,deflecteur peugeot 208 ,4
123,2023-10-28,1,326.67,0.0,93700,DRANCY,DIVERS,AGC,Pare-brise vert,2
123,2023-10-28,2,67.53,0.0,93700,DRANCY,DIVERS,PILKINGTON (EUROCODE),Enjoliveur pare-brise,2
125,2024-05-18,1,173.61,100.0,95190,GOUSSAINVILLE,DIVERS,DIVERS,PARE-BRISE AUDI A3 III + MAIN D'OEUVRE,9
125,2024-05-18,1,5.5,0.0,95190,GOUSSAINVILLE,DIVERS,VOLKSWAGEN,ENJOLIVEUR  RETROVISEUR INT (D),9
126,2018-06-11,1,211.25,0.0,93380,PIERREFITTE SUR SEINE,DIVERS,AGC,Pare-brise vert,7
127,2018-11-27,1,277.78,100.0,93270,SEVRAN,DIVERS,DIVERS,2 PNEU 275/40/19 GOODIYEAR RONFLAT,6
