States,Region,SalesKey,Civilité,Feedback,DateKey
ST DENIS,93200,2834,3,0,2019-07-01
ST DENIS,93200,2835,3,5,2019-10-02
ROMAINVILLE,93230,2836,3,6,2019-11-22
BONDY,93140,2837,3,5,2020-01-10
EPINAY SUR SEINE,93800,2838,5,2,2020-03-03
PIERREFITTE SUR SEINE,93380,2839,3,8,2020-06-18
COGNAC,16100,2840,3,7,2020-08-03
GONESSE,95500,2841,3,1,2020-09-30
AULNAY SOUS BOIS,93600,2842,1,5,2021-01-13
FOSSES,95470,2843,3,4,2021-03-31
SARCELLES,95200,2844,3,9,2021-06-22
LE BLANC MESNIL,93150,2845,3,4,2021-08-21
GOUSSAINVILLE,95190,2846,3,8,2021-11-23
BOBIGNY,93000,2847,1,9,2022-02-10
BOBIGNY,93000,2848,3,8,2022-05-13
MELLAC,29300,2849,3,6,2022-08-04
EPINAY SUR SEINE,93800,2850,3,0,2022-11-23
VILLIERS LE BEL,95400,2851,3,7,2023-03-06
STAINS,93240,2852,3,8,2023-05-22
PANTIN,93500,2853,3,10,2023-07-27
ST DENIS,93200,2854,3,5,2023-09-25
STAINS,93240,2855,2,6,2023-12-12
ASNIERES SUR SEINE,92600,2856,3,4,2024-04-02
AUBERVILLIERS,93300,2857,3,0,2024-07-03
AUBERVILLIERS,93300,2858,5,8,2018-07-12
PIERREFITTE SUR SEINE,93380,2859,3,5,2018-10-12
SARCELLES,95200,2860,3,1,2019-03-08
STAINS,93240,2861,3,10,2019-05-09
STAINS,93240,2862,3,3,2019-07-01
TREMBLAY EN FRANCE,93290,2863,3,5,2019-08-12
PARIS 13EME ARRONDISSEMENT,75013,2864,3,1,2019-10-03
CLICHY SOUS BOIS,93390,2865,3,9,2019-11-22
TRIEL SUR SEINE,78510,2866,3,6,2020-01-10
PIERREFITTE SUR SEINE,93380,2867,3,6,2020-03-03
COLOMBES,92700,2868,3,5,2020-09-30
MONTSOULT,95560,2869,3,9,2021-01-13
PIERREFITTE SUR SEINE,93380,2870,3,6,2021-03-31
GARGES LES GONESSE,95140,2871,3,0,2021-06-22
ST DENIS,93200,2872,3,0,2021-08-21
NOISY LE GRAND,93160,2873,1,3,2022-02-10
SARCELLES,95200,2874,3,1,2022-05-13
PIERREFITTE SUR SEINE,93380,2875,3,0,2022-08-04
MORSANG SUR ORGE,91390,2876,3,2,2022-11-23
PIERREFITTE SUR SEINE,93380,2877,3,10,2023-03-07
ASNIERES SUR SEINE,92600,2878,3,4,2023-07-27
GRIGNY,91350,2879,1,5,2023-09-25
AUBERVILLIERS,93300,2880,3,1,2023-12-13
ST DENIS,93200,2881,3,1,2024-04-02
VILLENEUVE LA GARENNE,92390,2882,3,4,2018-07-13
PIERREFITTE SUR SEINE,93380,2883,3,3,2018-10-12
ESCHES,60110,2884,1,8,2018-12-20
SARCELLES,95200,2885,3,5,2019-10-03
ST DENIS,93200,2886,3,7,2019-11-22
STAINS,93240,2887,3,0,2020-05-18
CAGNY,80330,2888,2,6,2020-06-19
RUEIL MALMAISON,92500,2889,3,6,2020-08-03
SARCELLES,95200,2890,3,9,2021-01-13
AUBERVILLIERS,93300,2891,3,2,2021-04-01
PONTOISE,95300,2892,3,4,2021-06-22
TREMBLAY EN FRANCE,93290,2893,1,4,2021-11-25
LE PLESSIS BOUCHARD,95130,2894,2,10,2022-02-10
LA COURNEUVE,93120,2895,3,10,2022-05-13
EPINAY SUR SEINE,93800,2896,3,10,2022-08-05
MONTMORENCY,95160,2897,1,1,2022-11-24
NOISY LE GRAND,93160,2898,1,10,2023-03-07
BONDY,93140,2899,3,5,2023-05-22
LINAS,91310,2900,3,7,2023-07-28
PIERREFITTE SUR SEINE,93380,2901,1,7,2024-04-02
PIERREFITTE SUR SEINE,93380,2902,3,0,2024-07-03
BOBIGNY,93000,2903,3,2,2018-05-04
SAVIGNY LE TEMPLE,77176,2904,3,5,2018-07-13
PIERREFITTE SUR SEINE,93380,2905,3,2,2018-10-12
ESCHES,60110,2906,1,2,2018-12-20
VILLEPINTE,93420,2907,3,7,2019-05-10
TREVOUX,1600,2908,3,0,2019-08-13
ROMAINVILLE,93230,2909,3,9,2019-10-03
NANTERRE,92000,2910,3,10,2020-03-03
ARGENTEUIL,95100,2911,1,10,2020-05-18
CLICHY,92110,2912,3,1,2020-08-03
BRUYERES SUR OISE,95820,2913,3,4,2020-10-01
PARIS 9EME ARRONDISSEMENT,75009,2914,3,4,2021-01-14
STAINS,93240,2915,3,4,2021-04-02
GARGES LES GONESSE,95140,2916,3,8,2021-06-22
STAINS,93240,2917,3,4,2021-11-25
PIERREFITTE SUR SEINE,93380,2918,3,9,2022-08-05
ST DENIS,93200,2919,1,4,2022-11-24
NEUILLY PLAISANCE,93360,2920,3,8,2023-03-07
DAMPSMESNIL,27630,2921,3,9,2023-05-23
GARGES LES GONESSE,95140,2922,3,3,2023-07-28
GARGES LES GONESSE,95140,2923,3,1,2023-09-25
PARIS 18EME ARRONDISSEMENT,75018,2924,3,7,2023-12-14
GONESSE,95500,2925,1,3,2024-07-03
PIERREFITTE SUR SEINE,93380,2926,2,9,2018-07-13
PIERREFITTE SUR SEINE,93380,2927,3,8,2018-10-13
VILLIERS LE BEL,95400,2928,5,8,2018-12-20
BONDY,93140,2929,5,6,2019-03-09
SARCELLES,95200,2930,3,2,2019-05-10
PIERREFITTE SUR SEINE,93380,2931,3,3,2019-08-14
PIERREFITTE SUR SEINE,93380,2932,1,7,2019-10-03
STAINS,93240,2933,3,4,2019-11-23
ARGENTEUIL,95100,2934,1,5,2020-05-18
LA CHAPELLE EN SERVAL,60520,2935,3,8,2020-08-03
ARGENTEUIL,95100,2936,3,8,2020-10-01
MONTREUIL,93100,2937,3,4,2021-01-14
MONTMAGNY,95360,2938,3,5,2021-04-02
EZANVILLE,95460,2939,1,9,2021-06-22
PIERREFITTE SUR SEINE,93380,2940,3,2,2021-08-23
PIERREFITTE SUR SEINE,93380,2941,1,6,2021-11-25
DOMONT,95330,2942,3,5,2022-02-10
PIERREFITTE SUR SEINE,93380,2943,3,4,2022-11-24
TREMBLAY EN FRANCE,93290,2944,3,7,2023-03-07
NEUILLY SUR MARNE,93330,2945,3,6,2023-07-28
GARGES LES GONESSE,95140,2946,3,7,2023-09-25
VILLIERS SUR MARNE,94350,2947,3,2,2024-04-03
SARCELLES,95200,2948,3,5,2024-07-03
STAINS,93240,2949,2,10,2018-07-13
PIERREFITTE SUR SEINE,93380,2950,3,5,2018-10-13
VILLIERS LE BEL,95400,2951,3,9,2018-12-20
ARGENTEUIL,95100,2952,3,3,2019-05-10
ST DENIS,93200,2953,3,10,2019-08-14
VILLIERS LE BEL,95400,2954,3,9,2019-11-23
ST DENIS,93200,2955,1,1,2020-01-10
GARGES LES GONESSE,95140,2956,5,2,2020-03-04
PIERREFITTE SUR SEINE,93380,2957,5,4,2020-08-03
PARIS 19EME ARRONDISSEMENT,75019,2958,1,4,2020-10-01
SARCELLES,95200,2959,1,2,2021-08-23
PIERREFITTE SUR SEINE,93380,2960,3,0,2021-11-25
SARCELLES,95200,2961,3,0,2022-05-14
ST DENIS,93200,2962,1,2,2022-11-24
SEVRAN,93270,2963,3,4,2023-05-23
GOUSSAINVILLE,95190,2964,2,5,2023-07-29
LIZY SUR OURCQ,77440,2965,3,10,2023-09-25
GARGES LES GONESSE,95140,2966,1,6,2023-12-15
STAINS,93240,2967,3,3,2024-04-04
NEUILLY EN THELLE,60530,2968,1,8,2024-07-03
PARIS 19EME ARRONDISSEMENT,75019,2969,3,8,2018-05-05
PIERREFITTE SUR SEINE,93380,2970,2,6,2018-10-13
MONTMORENCY,95160,2971,1,4,2018-12-21
MITRY MORY,77290,2972,3,5,2019-05-10
EPINAY SUR SEINE,93800,2973,2,5,2019-07-02
STAINS,93240,2974,3,1,2019-10-04
ST FARGEAU PONTHIERRY,77310,2975,3,2,2020-01-10
SEVRAN,93270,2976,5,0,2020-03-04
BOBIGNY,93000,2977,3,6,2020-05-18
ST GRATIEN,95210,2978,3,4,2020-08-03
GARGES LES GONESSE,95140,2979,2,2,2020-10-01
PIERREFITTE SUR SEINE,93380,2980,3,8,2021-01-14
ARGENTEUIL,95100,2981,3,3,2021-11-25
AULNAY SOUS BOIS,93600,2982,3,2,2022-05-14
NEUILLY SUR MARNE,93330,2983,3,7,2022-08-05
EPINAY SOUS SENART,91860,2984,3,8,2023-03-07
CHAMPIGNY SUR MARNE,94500,2985,3,5,2023-05-23
PIERREFITTE SUR SEINE,93380,2986,3,10,2023-07-29
POISSY,78300,2987,1,9,2023-09-25
GROSLAY,95410,2988,3,2,2018-05-05
PIERREFITTE SUR SEINE,93380,2989,2,4,2018-10-13
PIERREFITTE SUR SEINE,93380,2990,3,8,2019-03-11
GARGES LES GONESSE,95140,2991,3,9,2019-05-10
EPINAY SUR SEINE,93800,2992,2,7,2019-07-02
PIERREFITTE SUR SEINE,93380,2993,3,5,2019-08-15
ST DENIS,93200,2994,3,7,2019-10-04
GARGES LES GONESSE,95140,2995,1,6,2019-11-23
GARGES LES GONESSE,95140,2996,3,10,2020-01-11
VIGNEUX SUR SEINE,91270,2997,5,4,2020-03-04
CHAMPIGNY SUR MARNE,94500,2998,2,1,2020-06-19
SARCELLES,95200,2999,3,6,2020-08-03
VILLEMOMBLE,93250,3000,1,5,2020-10-02
ST JEAN DU CARDONNAY,76150,3001,1,4,2021-01-14
ST DENIS,93200,3002,3,1,2021-04-06
VILLENEUVE LA GARENNE,92390,3003,3,3,2021-06-22
LA COURNEUVE,93120,3004,1,7,2022-02-11
GARGES LES GONESSE,95140,3005,3,9,2022-05-14
BOURG LA REINE,92340,3006,3,3,2023-03-07
LA COURNEUVE,93120,3007,3,0,2023-09-26
DOMONT,95330,3008,3,0,2023-12-16
CLOYES SUR LE LOIR,28220,3009,3,1,2024-04-04
PIERREFITTE SUR SEINE,93380,3010,3,5,2024-07-03
PARIS 11EME ARRONDISSEMENT,75011,3011,3,0,2018-05-05
ROSNY SOUS BOIS,93110,3012,3,7,2018-10-15
GONESSE,95500,3013,1,5,2019-03-11
PARIS 14EME ARRONDISSEMENT,75014,3014,3,3,2019-07-02
PARIS 20EME ARRONDISSEMENT,75020,3015,3,3,2019-10-05
BUSSY ST GEORGES,77600,3016,3,7,2020-01-11
GOUSSAINVILLE,95190,3017,3,0,2020-05-19
MEUDON LA FORET,92360,3018,3,10,2020-06-19
PARIS 11EME ARRONDISSEMENT,75011,3019,1,0,2020-08-04
ST DENIS,93200,3020,3,5,2020-10-02
ST DENIS,93200,3021,1,10,2021-01-14
LORIENT,56100,3022,3,7,2021-04-06
ERMONT,95120,3023,1,2,2021-06-22
LE BLANC MESNIL,93150,3024,3,9,2021-08-26
VILLETANEUSE,93430,3025,1,8,2021-11-29
VILLEPARISIS,77270,3026,5,1,2022-05-14
CRETEIL,94000,3027,3,4,2022-08-08
BAGNEUX,92220,3028,1,7,2023-03-08
BONDY,93140,3029,3,5,2023-05-23
SARCELLES,95200,3030,3,7,2023-07-31
FONTAINEBLEAU,77300,3031,3,5,2023-09-26
PIERREFITTE SUR SEINE,93380,3032,3,2,2024-07-03
CORBEIL ESSONNES,91100,3033,2,2,2018-05-05
STAINS,93240,3034,3,2,2018-07-16
PIERREFITTE SUR SEINE,93380,3035,3,1,2018-10-15
BELLOY EN FRANCE,95270,3036,1,2,2018-12-22
PIERREFITTE SUR SEINE,93380,3037,5,8,2019-03-11
LE BLANC MESNIL,93150,3038,3,5,2019-07-02
NEUILLY SUR SEINE,92200,3039,3,9,2019-08-15
PARIS 16EME ARRONDISSEMENT,75016,3040,3,0,2020-01-11
GRIGNY,91350,3041,3,5,2020-05-19
SARCELLES,95200,3042,1,7,2020-08-04
STAINS,93240,3043,3,6,2020-10-02
MOISSELLES,95570,3044,3,4,2021-01-15
PIERREFITTE SUR SEINE,93380,3045,3,4,2021-04-06
SARCELLES,95200,3046,3,0,2021-08-26
ST DENIS,93200,3047,3,3,2021-11-29
ST DENIS,93200,3048,3,4,2022-02-14
LA COURNEUVE,93120,3049,3,3,2022-05-17
SEVRAN,93270,3050,1,1,2022-08-08
PIERREFITTE SUR SEINE,93380,3051,3,1,2022-11-28
LA PLAINE ST DENIS,93210,3052,3,9,2023-03-08
SARCELLES,95200,3053,3,8,2023-05-24
LOUVECIENNES,78430,3054,1,5,2023-07-31
ST DENIS,93200,3055,3,8,2023-12-18
CREIL,60100,3056,3,1,2024-04-04
SARCELLES,95200,3057,3,2,2024-07-04
LE BLANC MESNIL,93150,3058,3,9,2018-05-05
LES LILAS,93260,3059,2,10,2018-07-16
PIERREFITTE SUR SEINE,93380,3060,3,9,2018-10-16
VILLEPINTE,93420,3061,3,4,2020-01-11
BONDY,93140,3062,3,7,2020-05-19
CHAMPS SUR MARNE,77420,3063,3,0,2020-06-20
ST OUEN D ATTEZ,27160,3064,1,3,2020-08-04
PIERREFITTE SUR SEINE,93380,3065,3,7,2020-10-02
PIERREFITTE SUR SEINE,93380,3066,5,7,2021-01-15
VILLIERS LE BEL,95400,3067,3,5,2021-08-26
GARGES LES GONESSE,95140,3068,1,2,2021-11-29
THIAIS,94320,3069,2,6,2022-05-17
GARGES LES GONESSE,95140,3070,3,0,2022-11-28
STAINS,93240,3071,3,2,2023-03-08
MELUN,77000,3072,5,10,2023-05-24
GARGES LES GONESSE,95140,3073,3,1,2023-07-31
DRANCY,93700,3074,3,7,2023-09-26
GARGES LES GONESSE,95140,3075,3,3,2023-12-18
SURESNES,92150,3076,1,5,2024-04-05
LE BLANC MESNIL,93150,3077,3,0,2018-05-05
LES LILAS,93260,3078,2,9,2018-07-16
PIERREFITTE SUR SEINE,93380,3079,3,6,2018-10-16
PIERREFITTE SUR SEINE,93380,3080,3,9,2018-12-22
GARGES LES GONESSE,95140,3081,3,3,2019-03-12
SEVRAN,93270,3082,3,9,2019-05-11
MONTMORENCY,95160,3083,2,5,2019-07-02
CLICHY,92110,3084,2,6,2019-08-16
DOMONT,95330,3085,3,9,2019-11-23
ST DENIS,93200,3086,3,0,2020-01-13
BONDY,93140,3087,3,5,2020-08-04
ST BRICE SOUS FORET,95350,3088,3,0,2020-10-03
STAINS,93240,3089,3,1,2021-08-26
GENNEVILLIERS,92230,3090,2,6,2021-11-29
CHAMPIGNY SUR MARNE,94500,3091,3,0,2022-02-14
PIERREFITTE SUR SEINE,93380,3092,3,4,2022-05-17
CHANTILLY,60500,3093,3,5,2022-11-29
DRANCY,93700,3094,3,7,2023-03-09
LE POUGET,34230,3095,3,9,2023-05-24
GARGES LES GONESSE,95140,3096,3,8,2023-07-31
SARCELLES,95200,3097,3,0,2023-09-26
DUGNY,93440,3098,1,9,2023-12-19
STAINS,93240,3099,3,7,2024-04-05
