States,Region,SalesKey,Civilité,Feedback,DateKey
SARCELLES,95200,4658,3,7,2023-03-30
AUBERVILLIERS,93300,4659,3,7,2023-06-07
GARGES LES GONESSE,95140,4660,3,5,2023-08-16
STAINS,93240,4661,3,9,2023-10-12
STAINS,93240,4662,2,2,2024-01-22
PIERREFITTE SUR SEINE,93380,4663,3,2,2024-04-29
PIERREFITTE SUR SEINE,93380,4664,5,5,2018-05-26
ST DENIS,93200,4665,3,6,2018-08-06
STAINS,93240,4666,3,9,2018-11-08
GARGES LES GONESSE,95140,4667,3,5,2019-01-12
PARIS 17EME ARRONDISSEMENT,75017,4668,3,3,2019-05-27
EPINAY SUR SEINE,93800,4669,5,9,2019-12-09
PARIS 20EME ARRONDISSEMENT,75020,4670,3,7,2020-01-27
ARGENTEUIL,95100,4671,3,5,2020-05-29
ARGENTEUIL,95100,4672,3,1,2020-08-17
GENNEVILLIERS,92230,4673,3,10,2021-02-09
NANTEUIL LES MEAUX,77100,4674,3,4,2021-04-29
ECOUEN,95440,4675,3,10,2021-07-09
STAINS,93240,4676,3,5,2021-09-23
AUBERVILLIERS,93300,4677,3,0,2021-12-24
DAMMARTIN EN GOELE,77230,4678,3,3,2022-03-10
NANTEUIL LES MEAUX,77100,4679,3,2,2022-06-04
PARIS 17EME ARRONDISSEMENT,75017,4680,3,1,2022-09-07
LE BLANC MESNIL,93150,4681,3,7,2023-03-30
ST DENIS,93200,4682,3,0,2023-08-16
BONDY,93140,4683,3,6,2023-10-12
DRANCY,93700,4684,3,3,2024-04-29
VILLEPARISIS,77270,4685,3,10,2018-05-26
DOMONT,95330,4686,3,7,2018-08-06
PIERREFITTE SUR SEINE,93380,4687,4,3,2019-01-12
CLICHY SOUS BOIS,93390,4688,1,4,2019-04-03
PIERREFITTE SUR SEINE,93380,4689,3,2,2019-05-27
LE BLANC MESNIL,93150,4690,3,6,2019-07-11
ARGENTEUIL,95100,4691,3,6,2020-05-29
GENNEVILLIERS,92230,4692,1,4,2020-08-18
GARGES LES GONESSE,95140,4693,3,5,2020-10-23
STAINS,93240,4694,3,9,2021-02-09
LAONS,28270,4695,3,1,2021-04-29
DRANCY,93700,4696,3,1,2021-07-12
LES PAVILLONS SOUS BOIS,93320,4697,2,9,2022-03-10
DRANCY,93700,4698,3,3,2022-09-07
AUBERVILLIERS,93300,4699,3,1,2023-01-16
STAINS,93240,4700,3,0,2023-03-31
LE PLESSIS BOUCHARD,95130,4701,3,10,2023-06-08
BEAUVAIS,60000,4702,3,4,2023-08-16
PIERREFITTE SUR SEINE,93380,4703,3,8,2023-10-12
VILLETANEUSE,93430,4704,3,7,2024-01-23
VITRY SUR SEINE,94400,4705,3,5,2024-04-29
VILLIERS LE BEL,95400,4706,5,0,2018-05-26
DOMONT,95330,4707,3,7,2018-08-06
LE MEE SUR SEINE,77350,4708,3,10,2019-05-27
MONTMAGNY,95360,4709,3,4,2019-07-11
SARCELLES,95200,4710,3,2,2019-08-31
DEUIL LA BARRE,95170,4711,3,6,2020-01-27
MONTFERMEIL,93370,4712,3,10,2020-05-29
ST DENIS,93200,4713,1,10,2020-06-29
SARCELLES,95200,4714,1,1,2020-08-18
BOISSY ST LEGER,94470,4715,3,1,2021-02-09
PARIS 19EME ARRONDISSEMENT,75019,4716,5,9,2021-07-12
NOISY LE SEC,93130,4717,3,1,2022-03-11
VILLIERS LE BEL,95400,4718,3,4,2022-06-04
LE PLESSIS BELLEVILLE,60330,4719,1,8,2022-09-07
BOBIGNY,93000,4720,1,4,2023-01-17
PIERREFITTE SUR SEINE,93380,4721,3,10,2023-03-31
STAINS,93240,4722,1,2,2023-06-08
BAGNOLET,93170,4723,3,4,2023-08-16
GARGES LES GONESSE,95140,4724,3,4,2023-10-12
ST DENIS,93200,4725,3,8,2024-01-24
GONESSE,95500,4726,1,5,2024-04-30
STAINS,93240,4727,5,10,2018-05-26
VILLETANEUSE,93430,4728,3,9,2019-04-04
PIERREFITTE SUR SEINE,93380,4729,5,0,2019-05-28
GENNEVILLIERS,92230,4730,3,2,2019-07-11
ST MARD,77230,4731,1,4,2019-09-02
SARCELLES,95200,4732,3,2,2019-10-23
MONTMAGNY,95360,4733,1,6,2020-01-27
PIERREFITTE SUR SEINE,93380,4734,1,4,2020-05-29
VAUREAL,95490,4735,3,5,2020-06-30
CERGY,95800,4736,3,10,2020-08-18
ST DENIS,93200,4737,3,0,2021-07-12
PIERREFITTE SUR SEINE,93380,4738,1,0,2022-03-14
GONESSE,95500,4739,1,1,2022-06-07
VILLEPINTE,93420,4740,1,7,2022-09-08
PUISEUX EN FRANCE,95380,4741,3,8,2023-03-31
EPINAY SUR SEINE,93800,4742,3,4,2023-06-09
GENNEVILLIERS,92230,4743,3,1,2024-01-24
GARGES LES GONESSE,95140,4744,3,5,2024-04-30
FONTENAY EN PARISIS,95190,4745,3,8,2018-05-28
MONTREUIL,93100,4746,2,6,2018-11-12
LES PAVILLONS SOUS BOIS,93320,4747,1,4,2019-05-28
COLOMBES,92700,4748,3,7,2019-07-11
EPINAY SUR SEINE,93800,4749,3,6,2019-09-02
JOUY LE MOUTIER,95280,4750,3,0,2020-01-28
MONTREUIL,93100,4751,3,4,2020-05-29
COLOMBES,92700,4752,1,9,2020-06-30
CERGY,95800,4753,3,8,2020-08-18
AULNAY SOUS BOIS,93600,4754,3,8,2020-10-27
VILLETANEUSE,93430,4755,3,7,2021-02-09
SARCELLES,95200,4756,3,8,2021-04-29
LOUVRES,95380,4757,1,7,2021-07-12
CLICHY SOUS BOIS,93390,4758,1,6,2022-03-14
ST GRATIEN,95210,4759,3,5,2022-06-07
PIERREFITTE SUR SEINE,93380,4760,1,2,2022-09-08
LE BLANC MESNIL,93150,4761,3,8,2023-06-10
ST DENIS,93200,4762,3,5,2023-10-12
ARNOUVILLE LES GONESSE,95400,4763,3,8,2024-01-24
ST DENIS,93200,4764,1,0,2018-08-09
MONTREUIL,93100,4765,2,3,2018-11-12
CLICHY,92110,4766,3,5,2019-01-14
AULNAY SOUS BOIS,93600,4767,3,8,2019-05-28
NOISY LE SEC,93130,4768,3,4,2019-09-02
LIVRY GARGAN,93190,4769,2,1,2019-12-10
MONTREUIL,93100,4770,3,5,2020-01-28
MONTREUIL,93100,4771,3,9,2020-04-21
SARCELLES,95200,4772,3,2,2020-05-29
FLEURY MEROGIS,91700,4773,1,7,2020-06-30
L ILE ST DENIS,93450,4774,3,9,2021-02-09
VILLEMOMBLE,93250,4775,1,7,2021-04-30
TRAPPES,78190,4776,3,7,2021-07-12
PUTEAUX,92800,4777,3,6,2021-09-25
LA PLAINE ST DENIS,93210,4778,3,5,2021-12-27
BOBIGNY,93000,4779,1,3,2022-03-15
CLICHY,92110,4780,3,10,2022-06-07
PIERREFITTE SUR SEINE,93380,4781,3,4,2022-09-09
GENNEVILLIERS,92230,4782,3,10,2023-01-18
SARCELLES,95200,4783,3,0,2023-03-31
EPINAY SUR SEINE,93800,4784,3,0,2023-06-10
COURBEVOIE,92400,4785,1,10,2023-08-17
LA COURNEUVE,93120,4786,3,9,2023-10-13
AULNAY SOUS BOIS,93600,4787,3,9,2024-01-24
DRANCY,93700,4788,3,1,2024-04-30
VAUMOISE,60117,4789,3,8,2018-05-28
PIERREFITTE SUR SEINE,93380,4790,1,2,2018-08-09
LAGNY SUR MARNE,77400,4791,1,5,2018-11-12
BAILLET EN FRANCE,95560,4792,3,2,2019-01-15
MITRY MORY,77290,4793,3,4,2019-04-04
VILLEPARISIS,77270,4794,3,1,2019-05-28
LA PLAINE ST DENIS,93210,4795,1,5,2019-09-02
PUTEAUX,92800,4796,3,4,2019-10-25
AUBERVILLIERS,93300,4797,3,6,2019-12-10
ST DENIS,93200,4798,3,10,2020-05-29
ARGENTEUIL,95100,4799,3,7,2020-08-18
BONDY,93140,4800,1,2,2020-10-28
VAUJOURS,93410,4801,3,2,2021-02-09
LES PAVILLONS SOUS BOIS,93320,4802,3,3,2021-04-30
GARGES LES GONESSE,95140,4803,3,10,2021-07-13
ARGENTAN,61200,4804,3,9,2021-09-28
PIERREFITTE SUR SEINE,93380,4805,3,10,2021-12-27
FRANCONVILLE,95130,4806,3,9,2022-06-07
TREMBLAY EN FRANCE,93290,4807,1,1,2023-01-18
ST DENIS,93200,4808,3,7,2023-04-01
EPINAY SUR SEINE,93800,4809,3,2,2023-06-10
PIERREFITTE SUR SEINE,93380,4810,3,1,2023-08-17
PARIS 18EME ARRONDISSEMENT,75018,4811,3,9,2024-04-30
PIERREFITTE SUR SEINE,93380,4812,1,7,2018-08-09
LAGNY SUR MARNE,77400,4813,1,2,2018-11-12
PIERREFITTE SUR SEINE,93380,4814,3,10,2019-01-15
SARCELLES,95200,4815,3,9,2019-04-04
LE PERREUX SUR MARNE,94170,4816,3,10,2019-05-28
GONESSE,95500,4817,3,2,2019-07-11
MONTMAGNY,95360,4818,3,8,2019-10-25
LE MANS,72000,4819,3,2,2020-04-21
ST DENIS,93200,4820,3,7,2020-05-29
MONTBRISON,42600,4821,3,5,2020-06-30
ST NICOLAS D ATTEZ,27160,4822,1,8,2020-08-18
STAINS,93240,4823,1,0,2020-10-29
GAGNY,93220,4824,3,9,2021-04-30
LE FAULQ,14130,4825,3,8,2021-07-13
ST DENIS,93200,4826,1,8,2021-09-28
PANTIN,93500,4827,3,1,2021-12-27
VITRY SUR SEINE,94400,4828,3,8,2022-03-15
BONDY,93140,4829,3,7,2022-06-07
CHAMPIGNY SUR MARNE,94500,4830,3,4,2022-09-09
SARCELLES,95200,4831,3,6,2023-01-18
PIERREFITTE SUR SEINE,93380,4832,3,1,2023-04-01
GOUSSAINVILLE,95190,4833,3,8,2023-08-17
WATTRELOS,59150,4834,1,1,2023-10-13
ETAMPES SUR MARNE,2400,4835,3,3,2024-01-25
PIERREFITTE SUR SEINE,93380,4836,5,10,2024-04-30
PIERREFITTE SUR SEINE,93380,4837,3,6,2018-11-12
PIERREFITTE SUR SEINE,93380,4838,3,5,2019-01-16
EPINAY SUR SEINE,93800,4839,1,4,2019-04-04
COUPVRAY,77700,4840,3,6,2019-07-11
ST DENIS,93200,4841,1,8,2019-09-03
VILLENEUVE LE ROI,94290,4842,5,10,2020-01-28
PIERREFITTE SUR SEINE,93380,4843,3,4,2020-04-21
SARCELLES,95200,4844,5,4,2020-05-29
CLICHY,92110,4845,3,2,2020-06-30
AUBERVILLIERS,93300,4846,3,2,2020-08-18
SARCELLES,95200,4847,3,9,2020-10-29
LE BLANC MESNIL,93150,4848,3,9,2021-04-30
GARGES LES GONESSE,95140,4849,2,2,2021-09-28
BONDY,93140,4850,2,1,2022-03-16
ST DENIS,93200,4851,3,9,2022-06-07
STAINS,93240,4852,3,8,2023-01-18
ST DENIS,93200,4853,2,8,2023-04-03
GARGES LES GONESSE,95140,4854,3,8,2023-06-12
GOUSSAINVILLE,95190,4855,1,8,2023-10-13
STAINS,93240,4856,3,10,2024-01-25
ST DENIS,93200,4857,1,1,2024-05-01
GONESSE,95500,4858,3,7,2018-11-13
LE PLESSIS TREVISE,94420,4859,3,4,2019-01-16
STAINS,93240,4860,1,5,2019-04-04
PIERREFITTE SUR SEINE,93380,4861,3,0,2019-12-10
VILLIERS LE BEL,95400,4862,3,6,2020-01-28
PIERREFITTE SUR SEINE,93380,4863,3,9,2020-04-22
PARIS 18EME ARRONDISSEMENT,75018,4864,3,1,2020-05-30
PANTIN,93500,4865,2,6,2020-06-30
LE PRE ST GERVAIS,93310,4866,3,7,2020-08-18
ST OUEN,93400,4867,3,6,2020-10-29
MONTAUBAN,82000,4868,3,1,2021-02-09
STAINS,93240,4869,3,8,2021-09-28
AUBERVILLIERS,93300,4870,3,2,2021-12-28
CRETEIL,94000,4871,3,4,2022-03-16
DRANCY,93700,4872,3,4,2022-06-07
PIERREFITTE SUR SEINE,93380,4873,5,9,2023-01-18
PIERREFITTE SUR SEINE,93380,4874,3,2,2023-06-12
GENNEVILLIERS,92230,4875,1,6,2023-08-18
CREZANCY,2650,4876,3,1,2024-01-26
MONTMAGNY,95360,4877,3,1,2024-05-01
STAINS,93240,4878,3,4,2018-05-29
CLICHY SOUS BOIS,93390,4879,3,9,2018-08-09
GONESSE,95500,4880,3,9,2018-11-13
ARGENTEUIL,95100,4881,3,7,2019-01-17
GOUSSAINVILLE,95190,4882,3,6,2019-04-04
PARIS 20EME ARRONDISSEMENT,75020,4883,3,1,2019-07-12
VILLIERS LE BEL,95400,4884,3,9,2020-01-28
AUBERVILLIERS,93300,4885,2,0,2020-04-22
SARCELLES,95200,4886,3,5,2020-05-30
GARGES LES GONESSE,95140,4887,5,4,2020-07-01
L ILE ST DENIS,93450,4888,3,5,2021-04-30
EPINAY SUR SEINE,93800,4889,3,2,2021-07-13
VILLEPINTE,93420,4890,3,7,2021-09-28
PIERREFITTE SUR SEINE,93380,4891,3,3,2021-12-28
STAINS,93240,4892,3,10,2022-03-16
GOUSSAINVILLE,95190,4893,3,0,2022-06-07
GARGES LES GONESSE,95140,4894,3,6,2022-09-12
GARGES LES GONESSE,95140,4895,1,2,2023-01-19
VIARMES,95270,4896,1,6,2023-04-04
VILLETANEUSE,93430,4897,3,2,2023-06-12
PIERREFITTE SUR SEINE,93380,4898,3,7,2023-08-18
ALFORTVILLE,94140,4899,3,6,2024-01-27
LAZ,29520,4900,1,2,2024-05-02
ARNOUVILLE LES GONESSE,95400,4901,3,10,2018-05-30
GONESSE,95500,4902,3,5,2018-08-10
ST DENIS,93200,4903,3,8,2018-11-13
BELLE EGLISE,60540,4904,3,6,2019-05-29
STAINS,93240,4905,3,7,2019-07-12
SARCELLES,95200,4906,1,8,2019-10-28
VITRY SUR SEINE,94400,4907,5,1,2019-12-10
CACHAN,94230,4908,3,0,2020-05-30
ORLY,94310,4909,3,0,2020-08-18
LE BLANC MESNIL,93150,4910,3,6,2020-10-30
PIERREFITTE SUR SEINE,93380,4911,3,10,2021-02-10
VILLIERS LE BEL,95400,4912,3,5,2021-05-03
GONESSE,95500,4913,3,1,2021-09-28
MONTMAGNY,95360,4914,3,8,2021-12-28
PANTIN,93500,4915,3,3,2022-03-16
GENNEVILLIERS,92230,4916,1,5,2022-06-07
THORY,80250,4917,2,3,2022-09-12
MELUN,77000,4918,3,10,2023-01-19
LE KREMLIN BICETRE,94270,4919,3,1,2023-04-04
MONTIGNY LES CORMEILLES,95370,4920,3,5,2023-10-14
CHENNEVIERES SUR MARNE,94430,4921,1,10,2024-01-27
ARNOUVILLE LES GONESSE,95400,4922,3,6,2018-05-30
VALENTON,94460,4923,3,9,2018-08-10
ST DENIS,93200,4924,3,3,2018-11-13
VILLENEUVE LA GARENNE,92390,4925,3,3,2019-01-18
DEUIL LA BARRE,95170,4926,1,10,2019-04-04
PIERREFITTE SUR SEINE,93380,4927,1,4,2019-07-12
SARCELLES,95200,4928,3,1,2019-09-03
ST DENIS,93200,4929,2,5,2019-10-28
ARGENTEUIL,95100,4930,3,1,2019-12-11
GOUSSAINVILLE,95190,4931,1,6,2020-04-22
PARIS,7517,4932,1,2,2020-05-30
PIERREFITTE SUR SEINE,93380,4933,1,3,2020-07-01
ROSNY SOUS BOIS,93110,4934,3,8,2020-08-19
LA GARENNE COLOMBES,92250,4935,3,5,2021-05-03
MARSAC SUR L ISLE,24430,4936,3,10,2021-07-15
LA COURNEUVE,93120,4937,3,7,2021-09-28
LE BLANC MESNIL,93150,4938,3,4,2021-12-28
LE PERREUX SUR MARNE,94170,4939,3,8,2022-03-16
ST DENIS,93200,4940,3,8,2022-09-12
GONESSE,95500,4941,2,4,2023-04-04
SANNOIS,95110,4942,1,4,2023-08-18
SEZANNE,51120,4943,3,6,2023-10-14
ST DENIS,93200,4944,3,6,2024-05-03
SARCELLES,95200,4945,1,5,2018-08-10
ST DENIS,93200,4946,3,7,2018-11-13
STAINS,93240,4947,1,2,2019-01-19
LE PERREUX SUR MARNE,94170,4948,3,9,2019-05-30
PIERREFITTE SUR SEINE,93380,4949,2,0,2019-07-12
EPINAY SUR SEINE,93800,4950,3,0,2019-09-03
DRANCY,93700,4951,3,9,2019-10-28
ARGENTEUIL,95100,4952,3,2,2019-12-11
ARGENTEUIL,95100,4953,3,7,2020-04-22
SARCELLES,95200,4954,3,10,2020-07-01
GARGES LES GONESSE,95140,4955,3,10,2020-10-30
LIVRY GARGAN,93190,4956,3,1,2021-05-03
VILLERS COTTERETS,2600,4957,3,3,2021-07-15
ECOUEN,95440,4958,3,7,2021-09-28
GENNEVILLIERS,92230,4959,3,10,2021-12-28
EPINAY SUR SEINE,93800,4960,3,8,2022-06-08
PIERREFITTE SUR SEINE,93380,4961,3,10,2022-09-12
SARCELLES,95200,4962,3,6,2023-01-20
SEVRAN,93270,4963,5,2,2023-04-05
STAINS,93240,4964,3,5,2023-06-12
NOISY LE SEC,93130,4965,1,1,2023-08-18
VILLETANEUSE,93430,4966,3,4,2023-10-16
PIERREFITTE SUR SEINE,93380,4967,3,7,2024-01-29
CARCASSONNE,11000,4968,3,3,2024-05-04
ALFORTVILLE,94140,4969,3,1,2018-08-10
ST DENIS,93200,4970,3,10,2018-11-13
STAINS,93240,4971,1,0,2019-01-19
VITRY SUR SEINE,94400,4972,3,3,2019-05-30
NOISY LE SEC,93130,4973,5,10,2019-09-04
STAINS,93240,4974,1,5,2019-10-28
EPINAY SUR SEINE,93800,4975,3,4,2019-12-11
ST DENIS,93200,4976,5,2,2020-01-29
CLAYE SOUILLY,77410,4977,3,7,2020-04-22
TREMBLAY EN FRANCE,93290,4978,3,9,2020-07-01
CERGY,95800,4979,3,8,2020-08-19
VIRY CHATILLON,91170,4980,2,0,2020-10-30
AULNAY SOUS BOIS,93600,4981,1,1,2021-05-03
AUBERVILLIERS,93300,4982,1,7,2021-07-15
PIERREFITTE SUR SEINE,93380,4983,3,7,2021-09-28
MONTMAGNY,95360,4984,3,0,2021-12-29
VILLIERS LE BEL,95400,4985,3,6,2022-09-12
LE BLANC MESNIL,93150,4986,3,5,2023-04-05
PIERREFITTE SUR SEINE,93380,4987,5,1,2023-06-13
GOUSSAINVILLE,95190,4988,3,10,2023-08-19
PARIS 19EME ARRONDISSEMENT,75019,4989,3,0,2024-01-30
VILLEPARISIS,77270,4990,2,0,2018-05-31
PIERREFITTE SUR SEINE,93380,4991,5,3,2018-11-14
BAGNEUX,92220,4992,3,2,2019-01-19
VILLIERS LE BEL,95400,4993,5,3,2019-05-30
PIERREFITTE SUR SEINE,93380,4994,3,1,2019-09-04
VILLETANEUSE,93430,4995,3,9,2020-01-30
GENNEVILLIERS,92230,4996,1,9,2020-04-22
VILLEMOMBLE,93250,4997,3,5,2020-05-30
PARIS 12EME ARRONDISSEMENT,75012,4998,1,0,2020-07-01
LE THILLAY,95500,4999,1,7,2021-02-12
NOISY LE SEC,93130,5000,3,3,2021-05-04
SARCELLES,95200,5001,3,2,2022-09-12
ST DENIS,93200,5002,3,8,2023-04-05
MONTFERMEIL,93370,5003,3,9,2023-06-13
LE HAVRE,76600,5004,3,5,2023-08-19
LA COURNEUVE,93120,5005,3,4,2023-10-16
SARCELLES,95200,5006,3,1,2024-01-31
PARIS 18EME ARRONDISSEMENT,75018,5007,3,8,2018-06-01
BONDY,93140,5008,1,10,2019-01-19
ANNET SUR MARNE,77410,5009,3,3,2019-05-31
MONTMORENCY,95160,5010,3,5,2019-07-12
ARNOUVILLE LES GONESSE,95400,5011,3,8,2019-09-04
STAINS,93240,5012,1,1,2019-12-11
TRUMILLY,60800,5013,1,7,2020-04-22
SARCELLES,95200,5014,3,4,2020-05-30
LE BLANC MESNIL,93150,5015,1,0,2020-07-01
VILLETANEUSE,93430,5016,1,7,2020-08-20
TOURY,28310,5017,3,4,2021-02-12
L ISLE ADAM,95290,5018,3,4,2021-09-28
VILLIERS LE BEL,95400,5019,3,6,2022-01-03
SARCELLES,95200,5020,3,10,2022-03-21
CLICHY,92110,5021,3,6,2022-06-09
PERIGNAT LES SARLIEVE,63170,5022,1,6,2022-09-12
DEUIL LA BARRE,95170,5023,3,1,2023-01-20
NOGENT SUR OISE,60180,5024,3,8,2023-04-05
MONTREUIL AUX LIONS,2310,5025,3,7,2023-06-13
FONTENAY SOUS BOIS,94120,5026,3,8,2023-08-21
STAINS,93240,5027,3,9,2024-01-31
NESLES LA MONTAGNE,2400,5028,3,0,2024-05-04
PIERREFITTE SUR SEINE,93380,5029,1,7,2018-06-02
HEMING,57830,5030,3,0,2018-11-15
AUBERVILLIERS,93300,5031,3,4,2019-05-31
AULNAY SOUS BOIS,93600,5032,3,1,2019-09-04
NANTERRE,92000,5033,3,6,2019-10-29
GOUSSAINVILLE,95190,5034,3,2,2019-12-11
DRANCY ,93700,5035,3,9,2020-01-30
PARIS 18EME ARRONDISSEMENT,75018,5036,3,4,2020-05-30
TORREILLES,66440,5037,3,8,2020-07-01
ROMAINVILLE,93230,5038,3,9,2021-02-12
CHELLES,77500,5039,2,10,2021-05-05
VILLEPINTE,93420,5040,1,10,2021-07-17
CLAYE SOUILLY,77410,5041,3,8,2022-01-03
PARIS 12EME ARRONDISSEMENT,75012,5042,3,3,2022-03-21
DEUIL LA BARRE,95170,5043,1,7,2022-06-09
ST DENIS,93200,5044,3,0,2022-09-13
CRETEIL,94000,5045,1,10,2023-01-20
THIAIS,94320,5046,3,8,2023-04-05
CHEVILLY LARUE,94550,5047,3,5,2023-08-21
PARIS 12EME ARRONDISSEMENT,75012,5048,3,8,2023-10-16
NANTERRE,92000,5049,3,2,2024-05-04
LA PLAINE ST DENIS,93210,5050,3,4,2018-08-13
ORLEANS,45100,5051,3,0,2018-11-15
PONTAULT COMBAULT,77340,5052,1,1,2019-01-21
AUBERVILLIERS,93300,5053,3,1,2019-04-05
ST CHERON DES CHAMPS,28170,5054,3,8,2019-06-01
EPINAY SUR SEINE,93800,5055,3,9,2019-09-04
COURCOURONNES,91080,5056,3,5,2019-10-29
VILLETANEUSE,93430,5057,1,7,2019-12-11
XXXXX,0,5058,3,9,2020-01-30
SARCELLES,95200,5059,3,5,2020-05-30
SURVILLIERS,95470,5060,3,8,2020-11-09
SARCELLES,95200,5061,1,1,2021-02-12
LUZARCHES,95270,5062,3,3,2021-05-05
STAINS,93240,5063,3,7,2021-07-17
AUBERVILLIERS,93300,5064,3,0,2021-09-29
STAINS,93240,5065,3,4,2022-01-03
NOISY LE SEC,93130,5066,3,10,2022-03-21
LE BLANC MESNIL,93150,5067,3,5,2022-06-09
SARCELLES,95200,5068,3,2,2022-09-13
STAINS,93240,5069,3,4,2023-01-21
ARGENTEUIL,95100,5070,3,8,2023-04-06
AULNAY SOUS BOIS,93600,5071,3,4,2023-06-13
VAUREAL,95490,5072,3,3,2023-08-21
GARGES LES GONESSE,95140,5073,3,2,2024-01-31
PIERREFITTE SUR SEINE,93380,5074,1,5,2024-05-06
ORLEANS,45100,5075,3,4,2018-11-15
PONTAULT COMBAULT,77340,5076,1,10,2019-01-21
PARIS 19EME ARRONDISSEMENT,75019,5077,3,3,2019-06-01
ST DENIS,93200,5078,4,0,2019-07-13
BOBIGNY,93000,5079,3,6,2019-09-04
GARGES LES GONESSE,95140,5080,1,4,2019-10-29
PIERREFITTE SUR SEINE,93380,5081,3,7,2020-01-30
PIERREFITTE SUR SEINE,93380,5082,1,3,2020-04-23
AULNAY SOUS BOIS,93600,5083,1,10,2020-05-30
AULNAY SOUS BOIS,93600,5084,1,6,2020-07-02
PIERREFITTE SUR SEINE,93380,5085,3,0,2020-08-20
LAMBERSART,59130,5086,3,2,2021-02-12
ST DENIS,93200,5087,3,6,2021-07-17
ST DENIS,93200,5088,3,5,2021-09-29
DAMMARTIN EN GOELE,77230,5089,3,7,2022-01-03
MONTREUIL,93100,5090,1,8,2022-06-10
GARGES LES GONESSE,95140,5091,3,9,2022-09-13
PIERREFITTE SUR SEINE,93380,5092,1,2,2023-04-06
EPINAY SUR SEINE,93800,5093,3,4,2023-08-21
STAINS,93240,5094,3,10,2023-10-18
PARIS 19EME ARRONDISSEMENT,75019,5095,3,6,2024-01-31
ST DENIS,93200,5096,3,9,2018-08-13
PIERREFITTE SUR SEINE,93380,5097,3,7,2018-11-15
AUBERVILLIERS,93300,5098,4,1,2019-07-13
CLICHY,92110,5099,3,9,2019-10-29
PIERREFITTE SUR SEINE,93380,5100,3,8,2019-12-11
MONTREUIL,93100,5101,3,4,2020-04-23
ST DENIS,93200,5102,1,2,2020-05-30
LE KREMLIN BICETRE,94270,5103,3,8,2020-08-20
MONTMORENCY,95160,5104,3,0,2021-05-05
ST DENIS,93200,5105,3,1,2021-07-17
SARCELLES,95200,5106,2,2,2022-01-03
BOBIGNY,93000,5107,3,5,2022-03-21
SARCELLES,95200,5108,1,4,2022-06-10
ARNOUVILLE LES GONESSE,95400,5109,1,9,2022-09-14
PIERREFITTE SUR SEINE,93380,5110,3,3,2023-01-21
GARGES LES GONESSE,95140,5111,3,6,2023-06-14
STAINS,93240,5112,3,9,2023-08-21
MONTMAGNY,95360,5113,1,7,2024-02-01
DOMONT,95330,5114,3,2,2024-05-07
COMBS LA VILLE,77380,5115,5,3,2018-06-04
STAINS,93240,5116,3,2,2019-04-06
VILLIERS LE BEL,95400,5117,3,7,2019-06-01
VILLETANEUSE,93430,5118,3,1,2019-09-05
SARCELLES,95200,5119,3,6,2019-10-29
DUGNY,93440,5120,1,8,2019-12-11
LE BLANC MESNIL,93150,5121,5,8,2020-01-31
ST DENIS,93200,5122,3,1,2020-04-23
,,5123,3,6,2020-06-01
MONTREUIL,93100,5124,2,1,2020-07-02
GARGES LES GONESSE,95140,5125,3,6,2020-08-21
PIERREFITTE SUR SEINE,93380,5126,3,0,2021-02-15
PIERREFITTE SUR SEINE,93380,5127,3,1,2021-05-06
SAVIGNY LE TEMPLE,77176,5128,1,1,2021-07-17
GARGES LES GONESSE,95140,5129,3,5,2022-06-10
GENTILLY,94250,5130,3,10,2023-06-14
MONTMAGNY,95360,5131,1,4,2024-05-07
ECOUEN,95440,5132,5,10,2018-06-04
PARIS 17EME ARRONDISSEMENT,75017,5133,3,2,2018-08-13
EZANVILLE,95460,5134,2,8,2018-11-15
CORMEILLES EN PARISIS,95240,5135,2,9,2019-01-22
ROSNY SOUS BOIS,93110,5136,1,10,2019-04-06
PIERREFITTE SUR SEINE,93380,5137,3,1,2019-09-05
FONTENAY EN PARISIS,95190,5138,2,3,2019-10-29
ST DENIS,93200,5139,3,7,2019-12-12
VILLETANEUSE,93430,5140,3,1,2020-04-23
BALLANCOURT SUR ESSONNE,91610,5141,3,0,2020-06-01
LIMEIL BREVANNES,94450,5142,1,5,2020-07-02
L'ISLE ADAM,95390,5143,3,1,2020-08-21
MONTMAGNY,95360,5144,3,0,2021-02-15
AULNAY SOUS BOIS,93600,5145,5,9,2021-05-06
LE BLANC MESNIL,93150,5146,3,9,2021-07-17
PIERREFITTE SUR SEINE,93380,5147,5,3,2021-09-30
STAINS,93240,5148,1,4,2022-03-23
PIERREFITTE SUR SEINE,93380,5149,1,0,2022-06-10
LE BOURGET,93350,5150,3,2,2022-09-14
CHATEAU THIERRY,2400,5151,3,7,2023-01-23
GENTILLY,94250,5152,3,0,2023-06-14
MONTMAGNY,95360,5153,3,6,2023-08-22
ST DENIS,93200,5154,3,10,2023-10-18
AULNAY SOUS BOIS,93600,5155,3,10,2024-02-03
CHOISY LE ROI,94600,5156,5,6,2018-06-04
SARCELLES,95200,5157,3,5,2018-08-14
CORMEILLES EN PARISIS,95240,5158,2,10,2019-01-22
NANTERRE,92000,5159,3,6,2019-06-03
SARCELLES,95200,5160,3,7,2019-09-05
BOBIGNY,93000,5161,1,0,2020-04-23
PIERREFITTE SUR SEINE,93380,5162,1,2,2020-06-01
PIERREFITTE SUR SEINE,93380,5163,1,0,2020-07-03
LEVALLOIS PERRET,92300,5164,1,5,2020-11-23
